what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461863968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461867328
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1254461867328
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1254461867328
opened,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1254461873187
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1254461873203
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254461879828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461893437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461911250
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1254461911250
opened,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461911375
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461917937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461928515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461969921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461970812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462021359
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1254462021390
error,log,,,"Variable references non-existent resource : ${build_project}",1254462021609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462021671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462026296
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254462027937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462032765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462034281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462037765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462101625
