what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461189625
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1254461193484
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1254461194812
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1254461194843
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1254461194921
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1254461195000
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1254461195468
opened,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461195546
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461195625
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254461195671
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254461197265
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254461200296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461235281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461235296
opened,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461235359
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1254461235359
started,bundle,org.eclipse.cdt.mylyn.ui,1.0.100.200909110608,"org.eclipse.cdt.mylyn.ui",1254461237187
started,bundle,org.eclipse.mylyn.resources.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.resources.ui",1254461237250
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1254461237281
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461237328
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.core",1254461237328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254461237343
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254461239312
opened,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1254461241625
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1254461241656
