what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1254462101640
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254462103265
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254462120125
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254462121734
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254462121796
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254462123953
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254462128421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462148203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462192515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462193328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462200437
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1254462200437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462207234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462233187
failed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1254462233203
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254462235109
error,log,,,"Variable references empty selection: ${project_loc}",1254462243281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462243281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462248453
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1254462248875
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1254462249515
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1254462254640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462269593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462271750
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1254462271812
